time_iso8601,forks_cumulative
2024-07-12 00:00:00+00:00,1
2024-07-15 00:00:00+00:00,2
2024-08-20 00:00:00+00:00,4
2024-08-23 00:00:00+00:00,5
2024-10-15 00:00:00+00:00,6
2024-10-20 00:00:00+00:00,7
2024-10-25 00:00:00+00:00,8
2024-10-29 00:00:00+00:00,9
2024-10-30 00:00:00+00:00,10
2024-11-10 00:00:00+00:00,11
2024-11-18 00:00:00+00:00,12
2024-11-29 00:00:00+00:00,13
2024-12-10 00:00:00+00:00,14
2025-01-09 00:00:00+00:00,15
2025-01-20 00:00:00+00:00,17
2025-01-23 00:00:00+00:00,18
2025-01-31 00:00:00+00:00,19
2025-02-01 00:00:00+00:00,20
2025-02-02 00:00:00+00:00,21
2025-02-05 00:00:00+00:00,22
2025-02-12 00:00:00+00:00,23
2025-02-18 00:00:00+00:00,24
2025-02-27 00:00:00+00:00,25
2025-03-04 00:00:00+00:00,26
2025-03-06 00:00:00+00:00,27
2025-03-07 00:00:00+00:00,28
2025-03-17 00:00:00+00:00,30
2025-03-19 00:00:00+00:00,31
2025-04-03 00:00:00+00:00,32
2025-04-08 00:00:00+00:00,33
2025-04-14 00:00:00+00:00,34
2025-04-17 00:00:00+00:00,36
2025-06-06 00:00:00+00:00,37
2025-07-03 00:00:00+00:00,38
2025-07-09 00:00:00+00:00,39
2025-07-10 00:00:00+00:00,40
2025-07-15 00:00:00+00:00,44
2025-07-16 00:00:00+00:00,45
2025-07-19 00:00:00+00:00,46
2025-07-20 00:00:00+00:00,47
2025-07-21 00:00:00+00:00,48
2025-07-22 00:00:00+00:00,49
2025-07-26 00:00:00+00:00,50
2025-07-28 00:00:00+00:00,52
2025-07-30 00:00:00+00:00,54
2025-08-02 00:00:00+00:00,55
2025-08-07 00:00:00+00:00,56
2025-08-09 00:00:00+00:00,57
2025-08-10 00:00:00+00:00,58
2025-08-11 00:00:00+00:00,59
2025-08-16 00:00:00+00:00,60
2025-08-25 00:00:00+00:00,62
2025-08-28 00:00:00+00:00,63
2025-08-31 00:00:00+00:00,65
2025-09-12 00:00:00+00:00,66
2025-09-13 00:00:00+00:00,67
2025-09-20 00:00:00+00:00,68
2025-09-22 00:00:00+00:00,69
2025-09-29 00:00:00+00:00,70
2025-10-02 00:00:00+00:00,71
2025-10-06 00:00:00+00:00,72
2025-10-28 00:00:00+00:00,74
2025-11-11 00:00:00+00:00,75
2025-12-04 00:00:00+00:00,76
2025-12-26 00:00:00+00:00,77
2026-01-02 00:00:00+00:00,78
2026-01-08 00:00:00+00:00,79
2026-01-10 00:00:00+00:00,80
2026-01-11 00:00:00+00:00,83
2026-01-12 00:00:00+00:00,85
2026-01-13 00:00:00+00:00,89
2026-01-15 00:00:00+00:00,91
2026-01-18 00:00:00+00:00,94
2026-01-20 00:00:00+00:00,96
2026-01-21 00:00:00+00:00,98
2026-01-22 00:00:00+00:00,101
2026-01-24 00:00:00+00:00,102
2026-01-26 00:00:00+00:00,103
2026-01-29 00:00:00+00:00,104
2026-01-30 00:00:00+00:00,105
2026-01-31 00:00:00+00:00,107
2026-02-03 00:00:00+00:00,108
2026-02-05 00:00:00+00:00,109
2026-02-06 00:00:00+00:00,111
2026-02-08 00:00:00+00:00,113
2026-02-18 00:00:00+00:00,114
2026-02-20 00:00:00+00:00,115
2026-02-26 00:00:00+00:00,116
2026-03-01 00:00:00+00:00,118
2026-03-03 00:00:00+00:00,119
2026-03-18 00:00:00+00:00,120
2026-03-25 00:00:00+00:00,122
2026-03-26 00:00:00+00:00,123
2026-03-27 00:00:00+00:00,124
2026-03-31 00:00:00+00:00,126
2026-04-04 00:00:00+00:00,127
2026-04-14 00:00:00+00:00,128
2026-04-15 00:00:00+00:00,129
2026-04-17 00:00:00+00:00,130
2026-04-21 00:00:00+00:00,131
2026-04-22 00:00:00+00:00,132
2026-04-28 00:00:00+00:00,133
2026-04-29 00:00:00+00:00,134
2026-04-30 00:00:00+00:00,135
2026-05-04 00:00:00+00:00,136
2026-05-12 00:00:00+00:00,137
2026-05-19 00:00:00+00:00,138
2026-05-27 00:00:00+00:00,139
2026-06-02 00:00:00+00:00,140
2026-06-07 00:00:00+00:00,141
2026-06-11 00:00:00+00:00,142
2026-06-15 00:00:00+00:00,143
2026-06-21 00:00:00+00:00,145
2026-06-22 00:00:00+00:00,146
2026-06-29 00:00:00+00:00,148
2026-07-05 00:00:00+00:00,149
2026-07-06 00:00:00+00:00,150
2026-07-12 00:00:00+00:00,151
2026-07-13 00:00:00+00:00,156
2026-07-14 00:00:00+00:00,160
2026-07-15 00:00:00+00:00,170
2026-07-16 00:00:00+00:00,178
2026-07-17 00:00:00+00:00,181
2026-07-18 00:00:00+00:00,188
2026-07-19 00:00:00+00:00,189
2026-07-20 00:00:00+00:00,194
2026-07-21 00:00:00+00:00,197
2026-07-22 00:00:00+00:00,198
2026-07-23 00:00:00+00:00,200
2026-07-24 00:00:00+00:00,207
2026-07-25 00:00:00+00:00,210
2026-07-26 00:00:00+00:00,212
2026-07-27 00:00:00+00:00,215
2026-07-28 00:00:00+00:00,217
