url_path,views_total,views_unique
/riscv-software-src/riscv-unified-db,959,401
/riscv-software-src/riscv-unified-db/pulls,659,73
/riscv-software-src/riscv-unified-db/issues,398,140
/riscv-software-src/riscv-unified-db/actions,225,4
/riscv-software-src/riscv-unified-db/branches/all,170,2
/riscv-software-src/riscv-unified-db/tree/main/spec,97,33
/riscv-software-src/riscv-unified-db/tree/main/spec/std/isa,95,30
/riscv-software-src/riscv-unified-db/pull/1328,58,23
/riscv-software-src/riscv-unified-db/commits/main,53,17
/riscv-software-src/riscv-unified-db/pull/1339,50,7
