time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-15 00:00:00+00:00,34,4,149,11
2025-10-16 00:00:00+00:00,142,8,130,27
2025-10-17 00:00:00+00:00,15,10,72,18
2025-10-18 00:00:00+00:00,40,7,56,10
2025-10-19 00:00:00+00:00,43,21,51,13
2025-10-20 00:00:00+00:00,73,16,105,24
2025-10-21 00:00:00+00:00,26,13,110,31
2025-10-22 00:00:00+00:00,42,19,146,41
2025-10-23 00:00:00+00:00,17,13,122,35
2025-10-24 00:00:00+00:00,31,20,275,39
2025-10-25 00:00:00+00:00,16,11,81,20
2025-10-26 00:00:00+00:00,19,7,107,31
2025-10-27 00:00:00+00:00,317,61,212,41
2025-10-28 00:00:00+00:00,213,15,280,52
2025-10-29 00:00:00+00:00,517,18,849,87
2025-10-30 00:00:00+00:00,500,54,413,54
2025-10-31 00:00:00+00:00,468,14,386,48
